date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20May%202023%2016:42:14%20GMT	http://plainswipe.local/?p=312	plainswipe.local/index8844.html	(from http://plainswipe.local/a-simple-guide-to-design-thinking/)
22:12:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20May%202023%2016:42:15%20GMT	http://plainswipe.local/?p=306	plainswipe.local/indexf167.html	(from http://plainswipe.local/hello-world-2/)
22:12:15	767/767	---MC-	200	added ('OK')	application/rss+xml	etag:%2283062861de3282452f599d3382b51044%22	http://plainswipe.local/hello-world-2/feed/	plainswipe.local/hello-world-2/feed/index.html	(from http://plainswipe.local/hello-world-2/)
22:12:19	48410/48410	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20May%202023%2016:42:16%20GMT	http://plainswipe.local/POST	plainswipe.local/POST	(from http://plainswipe.local/wp-content/themes/neve/assets/js/build/modern/frontend.js?ver=3.5.8)
22:12:19	2697/2697	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:42:16%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2Fhello-world-2%2F	plainswipe.local/wp-json/oembed/1.0/embed4f16	(from http://plainswipe.local/hello-world-2/)
22:12:27	62753/62753	---M--	200	added ('OK')	image/jpeg	etag:%22647345dd-f521%22	http://plainswipe.local/wp-content/uploads/2020/01/neve-web-design-bg-12.jpg	plainswipe.local/wp-content/uploads/2020/01/neve-web-design-bg-12.jpg	(from http://plainswipe.local/)
22:12:43	560559/560559	---M--	200	added ('OK')	image/png	etag:%2264737bee-88daf%22	http://plainswipe.local/wp-content/uploads/2023/05/TrainingMarketplace.png	plainswipe.local/wp-content/uploads/2023/05/TrainingMarketplace.png	(from http://plainswipe.local/15c42-web-agency-gb-portfolio/)
22:12:45	76772/76772	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20May%202023%2016:42:43%20GMT	http://plainswipe.local/meetingmagnet/	plainswipe.local/meetingmagnet/index.html	(from http://plainswipe.local/15c42-web-agency-gb-portfolio/)
22:12:45	2912/2912	---MCZ	200	added ('OK')	text/xml	date:Wed,%2031%20May%202023%2016:42:43%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2Fwhat-is-the-progressive-web-app-pwa-and-how-it-works%2F&format=xml	plainswipe.local/wp-json/oembed/1.0/embedc3e2	(from http://plainswipe.local/what-is-the-progressive-web-app-pwa-and-how-it-works/)
22:12:45	2808/2808	---MCZ	200	added ('OK')	text/xml	date:Wed,%2031%20May%202023%2016:42:43%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2Fa-simple-guide-to-design-thinking%2F&format=xml	plainswipe.local/wp-json/oembed/1.0/embed0ee7	(from http://plainswipe.local/a-simple-guide-to-design-thinking/)
22:12:46	29480/29480	---M--	200	added ('OK')	image/jpeg	etag:%2264737c62-7328%22	http://plainswipe.local/wp-content/uploads/2023/05/optometrist-eye-specialist-prescription-pad-template-in-ms-word.jpeg	plainswipe.local/wp-content/uploads/2023/05/optometrist-eye-specialist-prescription-pad-template-in-ms-word.jpeg	(from http://plainswipe.local/15c42-web-agency-gb-portfolio/)
22:12:46	4895/4895	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:42:45%20GMT	http://plainswipe.local/wp-json/wp/v2/posts/311	plainswipe.local/wp-json/wp/v2/posts/311	(from http://plainswipe.local/web-design-trends-for-2022/)
22:12:47	24765/24765	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:42:47%20GMT	http://plainswipe.local/wp-json/wp/v2/pages/433	plainswipe.local/wp-json/wp/v2/pages/433.json	(from http://plainswipe.local/meetingmagnet/)
22:12:48	2457/2457	---MCZ	200	added ('OK')	application/json	date:Wed,%2031%20May%202023%2016:42:48%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2Fmeetingmagnet%2F	plainswipe.local/wp-json/oembed/1.0/embed6109.json	(from http://plainswipe.local/meetingmagnet/)
22:12:49	2523/2523	---MCZ	200	added ('OK')	text/xml	date:Wed,%2031%20May%202023%2016:42:49%20GMT	http://plainswipe.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fplainswipe.local%2Fmeetingmagnet%2F&format=xml	plainswipe.local/wp-json/oembed/1.0/embed8da8	(from http://plainswipe.local/meetingmagnet/)
22:12:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2031%20May%202023%2016:42:50%20GMT	http://plainswipe.local/?p=433	plainswipe.local/index1557.html	(from http://plainswipe.local/meetingmagnet/)
